输入,输出,逻辑  
受伤,绷带,受伤后常用绷带包扎  
冰块,融化,冰块会随着温度升高而融化  
思维,发散,思维可以发散联想  
蚂蚁,团结,蚂蚁以团结协作著称  
极限,突破,极限可以被突破  
麻雀,叽喳,麻雀常发出叽喳声  
鳎目鱼,深海,鳎目鱼多生活于深海  
青椒,炒肉,青椒常与肉一起炒制  
隐喻,象征,隐喻是一种象征手法  
陶罐,陶艺,陶罐属于陶艺制品  
迷宫,复杂,迷宫以复杂路径为特点  
解构,重构,解构后常伴随重构过程  
自由,约束,自由与约束相对  
网络,节点,网络由节点连接构成  
空调,制冷,空调主要功能是制冷  
砂纸,打磨,砂纸用于打磨表面  
直觉,敏锐,直觉敏锐的人反应快  
电梯,楼层,电梯连接不同楼层  
爵士乐,即兴,爵士乐以即兴演奏为特色  
熵增,无序,熵增代表系统无序度增加  
瀑布,壮观,瀑布景象通常很壮观  
显微镜,细胞,显微镜用于观察细胞  
无限,循环,无限常与循环概念关联  
拓扑,变形,拓扑学研究图形变形性质  
手机,通讯,手机主要用于通讯  
悖论,矛盾,悖论包含自相矛盾  
快递,时效,快递注重时效性  
彳亍,徘徊,"彳亍"意为缓慢行走或徘徊  
异化,疏离,异化指人与环境的疏离感  
幽默感,风趣,幽默感体现个人风趣  
崇高,敬仰,崇高令人产生敬仰之情  
密码,解密,密码需要通过解密解读  
宿命,抗争,宿命常伴随抗争主题  
存在,本质,存在主义探讨本质问题  
向日葵,向阳,向日葵随太阳转动
思维,逻辑,思维依赖逻辑
