输入词,chatgpt_4.1_第一次,chatgpt_4.1_第二次,claude_第一次,claude_第二次,deepseek_r1_第一次,deepseek_r1_第二次,deepseek_r1_open_第一次,deepseek_r1_open_第二次,deepseek_v3_第一次,deepseek_v3_第二次,grok_第一次,grok_第二次,hunyuan_t1_第一次,hunyuan_t1_第二次,kimi_第一次,kimi_第二次,qwen2.5_14b_第一次,qwen2.5_14b_第二次,通义千问在线_第一次,通义千问在线_第二次
下场,结局,结局,结局,结局,后果,结局,结局,结局,结局,结局,结局,结局,结局,结局,结局,结局,结局,结局,结局,结局
东西,物品,物品,物品,物品,物体,物品,物品,物品,物品,物品,物品,物品,物品,物品,物品,物品,物品,物品,物品,物品
个人主义,独立,独立,集体,独立,自我,独立,自主,集体,自由,自由主义,独立,独立,自我,个体,独立,独立,独立,独立,自我,自我
买卖,交易,交易,交易,交易,利润,商业,交易,交易,交易,交易,交易,交易,交易,交易,交易,交易,交易,交易,交易,交易
人家,别人,别人,别人,别人,住户,住户,住户,他人,住户,住户,家庭,家庭,他人,他人,家庭,家庭,家庭,家庭,别人,他人
代理,代表,代表,委托,委托,中介,中介,中介,中介,中介,中介,代表,代表,中介,中介,代表,代表,代表,代表,代表,中介
关系,联系,联系,纽带,联系,网络,纽带,纽带,联系,人际,人际,联系,纽带,联系,人际,联系,联系,联系,联系,联系,联系
关门,锁门,锁门,隔离,开门,结束,隔离,闭店,锁门,闭店,营业,隐私,私密,闭合,闭合,离开,离开,封闭,封闭,关闭,隔离
冰块,融化,融化,融化,融化,融化,融化,融化,冷饮,融化,融化,融化,融化,融化,融化,融化,融化,融化,融化,融化,融化
出头,表现,表现,出人头地,冒尖,机会,显露,领先,领导,露面,露面,成功,成功,冒尖,冒尖,成功,成功,显露,显露,显露,成功
包袱,负担,负担,负担,负担,压力,沉重,负担,笑点,负担,相声,负担,负担,负担,行李,负担,负担,责任,责任,负担,负担
反正,无所谓,无所谓,不管,总之,肯定,无论如何,无论如何,无论如何,无论如何,无论如何,无论如何,随意,无论如何,总之,无论如何,无论如何,无所谓,随意,无论如何,对立
受伤,恢复,恢复,愈合,治疗,治疗,治疗,治愈,疤痕,绷带,绷带,治愈,治愈,治疗,愈合,治疗,治疗,治疗,治疗,绷带,治疗
可怜,同情,同情,同情,同情,援助,同情,同情,同情,同情,同情,同情,同情,同情,同情,同情,同情,同情,同情,同情,同情
吃醋,嫉妒,嫉妒,嫉妒,嫉妒,情感,情感,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒,嫉妒
同志,平等,平等,战友,伙伴,团结,平等,战友,战友,同伴,同性恋,团结,团结,伙伴,革命,伙伴,朋友,朋友,朋友,称呼,称呼
向日葵,阳光,阳光,追光,阳光,阳光,阳光,向阳,向阳,朝阳,太阳,阳光,阳光,太阳,转向,阳光,阳光,阳光,阳光,阳光,阳光
地道,正宗,正宗,正宗,正宗,地下,地下,隧道,正宗,正宗,隧道,真实,真实,正宗,正宗,真实,真实,隐藏,通道,地下,纯正
大方,慷慨,慷慨,慷慨,慷慨,捐赠,慷慨,慷慨,慷慨,得体,慷慨,慷慨,慷慨,慷慨,慷慨,慷慨,慷慨,慷慨,慷慨,慷慨,慷慨
委屈,抱怨,哭泣,抱怨,安慰,公平,不公,不平,不平,冤枉,冤枉,情绪,情绪,冤屈,冤枉,不满,不满,抱怨,抱怨,不满,冤枉
存在,虚无,本体,意义,意义,本质,本质,本质,本质,本质,海德格尔,意义,本质,本质,意义,意义,意义,意义,意义,现实,意识
孝顺,父母,父母,感恩,尊敬,尊重,美德,敬老,尊敬,敬老,父母,尊敬,尊重,美德,父母,尊敬,尊敬,尊敬,尊敬,子女,尊敬
宣传,推广,推广,推广,推广,媒体,推广,广告,广告,推广,广告,传播,影响,推广,推广,推广,广告,传播,传播,推广,推广
宿命,轮回,必然,抗争,注定,注定,注定,注定,注定,注定,希腊,命运,轮回,注定,命运,命运,命运,命运,命运,注定,注定
密码,破解,解锁,解锁,解锁,加密,加密,解密,解密,解密,解密,安全,安全,加密,解锁,保护,保护,破解,安全,解锁,安全
对头,敌人,敌人,冤家,正确,竞争,敌对,对手,对手,正确,正确,正确,正确,正确,正确,对手,对手,对立,对立,敌人,矛盾
对象,属性,属性,主体,主体,类,目标,类,类,属性,编程,关系,关系,实例,数据,目标,目标,关系,属性,关系,关系
小姐,服务,服务,礼貌,女士,礼貌,礼貌,女士,女士,女士,礼仪,礼貌,礼貌,称呼,女士,女性,女性,服务员,服务员,称呼,女性
崇高,敬畏,敬畏,敬畏,敬畏,敬畏,伟大,伟大,敬畏,敬仰,美学,敬畏,敬畏,伟大,道德,伟大,伟大,敬仰,敬仰,尊敬,敬仰
差不多,类似,接近,凑合,大概,近似,模糊,接近,近似,近似,近似,接近,接近,接近,类似,接近,接近,接近,接近,相似,近似
幽默感,笑声,笑声,智慧,轻松,喜剧,风趣,风趣,机智,风趣,喜剧,笑声,轻松,搞笑,笑话,快乐,快乐,笑料,笑料,笑点,轻松
康德,哲学,哲学,理性,哲学,哲学,哲学,哲学,哲学,哲学,哲学,哲学,哲学,哲学,德国,哲学,哲学,哲学,哲学,哲学,哲学
开花,结果,结果,结果,结果,春天,美丽,结果,结果,结果,结果,绽放,绽放,结果,结果,结果,结果,结果,结果,绽放,绽放
异化,疏离,疏离,疏离,疏离,劳动,疏离,物化,疏离,疏离,马克思,疏远,疏远,对立,社会,疏离,疏离,回归,回归,疏离,疏远
彳亍,缓慢,慢行,徘徊,缓行,缓慢,缓慢,徘徊,徘徊,缓慢,徘徊,漫步,漫步,徘徊,行走,徘徊,徘徊,犹豫,犹豫,行走,行走
快递,包裹,包裹,运输,送达,速度,快速,物流,包裹,包裹,包裹,速度,速度,包裹,速递,包裹,包裹,送达,送达,包裹,运输
思维,逻辑,推理,创新,创新,认知,理性,认知,逻辑,逻辑,脑科学,创造,创造,跳跃,逻辑,创造,创新,灵感,逻辑,逻辑,理性
悖论,自洽,自相矛盾,矛盾,矛盾,逻辑,矛盾,矛盾,矛盾,矛盾,矛盾,矛盾,矛盾,矛盾,自指,矛盾,矛盾,逻辑,逻辑,矛盾,矛盾
意思,表达,表达,表达,理解,解释,理解,含义,意图,表达,语义,理解,理解,含义,表达,表达,表达,表达,表达,含义,含义
手机,通信,通信,通讯,通讯,智能,便捷,通讯,屏幕,通讯,通讯,通信,通信,通信,便携,通讯,通讯,通讯,通讯,通讯,通讯
拓扑,连续,连续,变换,空间,空间,空间,结构,结构,几何,数学,结构,结构,几何,变形,结构,结构,形状,形状,结构,结构
撒娇,亲昵,亲昵,亲昵,可爱,依赖,依赖,依赖,依赖,依赖,任性,亲昵,亲昵,示弱,依赖,可爱,可爱,依赖,依赖,讨好,示弱
无限,无穷,宇宙,边界,有限,宇宙,永恒,循环,永恒,循环,循环,永恒,永恒,循环,数学,无尽,无尽,边界,边界,永恒,可能
显微镜,观察,观察,观察,放大,细胞,微小,细胞,微观,细胞,细胞,微观,微观,观察,观察,观察,观察,观察,观察,观察,观察
本事,能力,能力,能力,能力,技能,技能,能力,才能,能力,能力,能力,能力,能力,技能,能力,能力,能力,能力,能力,能力
来往,交流,交流,交际,交流,互动,互动,互动,交流,互动,交流,交流,交流,交流,人际,交流,交流,交流,交流,交流,交流
极限,突破,突破,突破,突破,突破,挑战,挑战,突破,突破,挑战,突破,突破,突破,边缘,突破,突破,突破,突破,突破,突破
潜水,呼吸,呼吸,探索,深入,深度,深度,水下,水下,水下,深海,深海,深海,隐藏,深潜,探索,探索,探索,探索,探索,探索
瀑布,水流,水流,奔流,奔流,壮观,壮观,流水,水流,壮观,彩虹,流水,流动,水流,倾泻,水流,水流,水流,水流,水流,水流
熵增,无序,无序,混乱,无序,无序,混乱,混乱,无序,无序,热力学,混乱,混乱,混乱,热力学,混乱,混乱,混乱,混乱,混乱,混乱
