输入,输出,逻辑
受伤,恢复,受伤之后通常需要恢复
冰块,融化,冰块遇热会融化
思维,意识,思维和意识密切相关
蚂蚁,群体,蚂蚁以群体活动著称
极限,突破,极限常被用来突破
麻雀,鸟类,麻雀属于鸟类
鳎目鱼,扁平,鳎目鱼身体扁平
青椒,蔬菜,青椒是一种蔬菜
隐喻,象征,隐喻常用作象征
陶罐,碎片,陶罐容易变成碎片
迷宫,出口,迷宫的目标是找到出口
康德,哲学,康德是哲学家
解构,重组,解构后常常重组
自由,选择,自由意味着有选择
网络,节点,网络由节点组成
空调,制冷,空调的主要功能是制冷
砂纸,打磨,砂纸用于打磨表面
直觉,判断,直觉常用于判断
电梯,楼层,电梯连接不同楼层
爵士乐,即兴,爵士乐以即兴著称
继承,遗产,继承通常指遗产
熵增,无序,熵增代表无序增加
瀑布,水流,瀑布是水流形成的
显微镜,观察,显微镜用于观察微观
无限,无穷,无限和无穷意思相近
拓扑,连续,拓扑学关注连续性
手机,通信,手机用于通信
悖论,自洽,悖论常因自洽性问题产生
快递,包裹,快递运送包裹
对象,属性,对象有属性
线,曲线,线可以变为曲线
彳亍,缓慢,彳亍表示缓慢行走
异化,疏离,异化导致疏离
幽默感,笑声,幽默感引发笑声
崇高,敬畏,崇高让人敬畏
密码,破解,密码需要破解
宿命,轮回,宿命常与轮回相关
存在,虚无,存在的对立是虚无
向日葵,阳光,向日葵向着阳光
思维,逻辑,思维离不开逻辑
个人主义,独立,个人主义强调独立
意思,表达,意思需要表达
大方,慷慨,大方等于慷慨
生气,愤怒,生气是愤怒的表现
本事,能力,本事等于能力
东西,物品,东西指物品
关门,锁门,关门后常常锁门
可怜,同情,可怜引发同情
地道,正宗,地道等于正宗
对头,敌人,对头是敌人
宣传,推广,宣传是推广的一种
包袱,负担,包袱象征负担
开花,结果,开花后会结果
结实,坚固,结实等于坚固
出头,表现,出头意味着表现
下场,结局,下场等于结局
买卖,交易,买卖是交易
风光,景色,风光指景色
精神,意志,精神和意志相关
人家,别人,人家指别人
反正,无所谓,反正等于无所谓
龙,神话,龙是神话生物
来往,交流,来往等于交流
隐私,保护,隐私需要保护
同志,平等,同志强调平等
隧道,穿越,隧道用于穿越障碍
小姐,服务,小姐常指服务行业
潜水,呼吸,潜水需要特殊呼吸
病毒,感染,病毒导致感染
代理,代表,代理即代表
蜜罐,诱饵,蜜罐是诱饵
关系,联系,关系等于联系
孝顺,父母,孝顺对象是父母
吃醋,嫉妒,吃醋等于嫉妒
缘分,偶遇,缘分常指偶遇
撒娇,亲昵,撒娇表现亲昵
委屈,抱怨,委屈常伴随抱怨
差不多,类似,差不多等于类似
记忆,回忆,记忆产生回忆
蠕虫,爬行,蠕虫以爬行著称
镜像,对称,镜像具有对称性
