输入,输出,逻辑  
受伤,治愈,受伤后需要治愈  
冰块,融化,冰块会融化  
思维,发散,思维可以发散  
蚂蚁,团结,蚂蚁以团结著称  
极限,突破,极限可以被突破  
麻雀,叽喳,麻雀常发出叽喳声  
鳎目鱼,深海,鳎目鱼多生活在深海  
青椒,炒肉,青椒常与肉一起炒  
隐喻,象征,隐喻是一种象征手法  
陶罐,考古,陶罐常见于考古发现  
迷宫,出口,迷宫需要寻找出口  
解构,重构,解构后常伴随重构  
自由,束缚,自由与束缚相对  
网络,虚拟,网络常指虚拟世界  
空调,制冷,空调主要功能是制冷  
砂纸,打磨,砂纸用于打磨  
直觉,敏锐,直觉常与敏锐相关  
电梯,楼层,电梯连接不同楼层  
爵士乐,即兴,爵士乐以即兴演奏为特点  
熵增,无序,熵增代表系统无序性增加  
瀑布,壮观,瀑布景象通常壮观  
显微镜,细胞,显微镜用于观察细胞  
无限,循环,无限常与循环概念相关  
拓扑,变形,拓扑学研究图形变形  
手机,通讯,手机主要用于通讯  
悖论,矛盾,悖论包含矛盾  
快递,包裹,快递运送包裹  
彳亍,徘徊,彳亍意为徘徊  
异化,疏离,异化指人与社会的疏离  
幽默感,风趣,幽默感体现风趣  
崇高,敬仰,崇高令人敬仰  
密码,解密,密码需要解密  
宿命,反抗,宿命常伴随反抗  
存在,本质,存在与本质是哲学核心  
向日葵,向阳,向日葵随太阳转动  
思维,逻辑,思维依赖逻辑
